Index,Force,Moduli,Poisson Ratio
235.000000,29.499100,0.429071,-1.048342
236.000000,532.894000,4.696653,-0.822226
237.000000,490.513000,4.178398,-0.695552
238.000000,267.984000,12.490978,-0.819036
239.000000,403.253000,18.928370,-0.800816
24.000000,66.525300,1.065238,-0.811575
240.000000,890.073000,4.644703,-0.558376
241.000000,852.896000,10.678692,-0.905555
242.000000,45.268900,0.758911,-0.597484
243.000000,73.648900,1.518969,-0.522900
244.000000,177.235000,5.108118,-0.928091
245.000000,157.428000,3.895256,-0.782789
246.000000,274.261000,11.156373,-0.986306
247.000000,20.803300,0.270788,-0.708787
248.000000,80.379400,1.537493,-1.114408
249.000000,53.742100,1.003383,-1.109539
25.000000,381.366000,3.408337,-0.998809
250.000000,15.757200,0.224624,-0.565340
251.000000,215.549000,1.554808,-0.668040
252.000000,42.621000,0.667432,-1.083907
253.000000,113.959000,2.385710,-0.865886
254.000000,72.459600,1.638779,-0.571163
255.000000,152.038000,3.724727,-0.892600
256.000000,70.620700,1.184595,-0.571656
257.000000,652.298000,6.407188,-0.473851
258.000000,323.853000,2.874042,-0.899823
259.000000,1644.220000,6.465775,-0.508329
26.000000,47.852900,0.775745,-0.491409
260.000000,310.657000,2.593569,-0.680937
261.000000,524.466000,6.019675,-0.910808
262.000000,113.553000,3.444805,-0.558190
263.000000,767.163000,9.325788,-0.581063
264.000000,500.651000,5.748669,-0.560410
265.000000,86.063400,1.898316,-1.148587
266.000000,37.608700,0.564202,-0.550369
267.000000,98.708800,3.074813,-0.610794
268.000000,496.745000,28.492169,-0.870325
269.000000,1021.200000,14.834678,-0.732560
27.000000,559.256000,6.010317,-0.887249
270.000000,197.022000,6.932380,-0.971069
271.000000,288.897000,2.262335,-0.647127
272.000000,409.360000,3.528211,-0.833795
273.000000,130.335000,3.402790,-0.748316
274.000000,174.170000,4.965645,-0.961809
275.000000,498.244000,5.434405,-0.664230
276.000000,409.498000,4.212107,-0.735248
277.000000,108.155000,2.757919,-0.739080
278.000000,1355.500000,6.687126,-0.538478
279.000000,397.668000,3.190035,-1.060110
28.000000,84.652100,1.734610,-1.000162
280.000000,94.999800,1.979273,-0.693642
281.000000,460.718000,4.617778,-1.031685
282.000000,28.823700,0.416819,-0.411665
283.000000,110.322000,2.476178,-1.234781
284.000000,220.545000,9.428656,-0.872414
285.000000,1313.680000,7.347704,-0.546219
286.000000,160.028000,4.365723,-0.666119
287.000000,1715.180000,8.476068,-0.812383
288.000000,26.733000,0.379251,-0.962529
289.000000,1304.030000,6.486933,-0.492490
29.000000,331.220000,13.621809,-0.997887
290.000000,22.753300,0.338893,-0.760227
291.000000,613.302000,7.072094,-0.955542
292.000000,45.436900,0.786836,-0.291589
293.000000,830.677000,3.576356,-0.574783
294.000000,1009.640000,5.598936,-0.519918
295.000000,230.421000,7.655420,-1.069742
296.000000,38.333000,0.587961,-0.834786
297.000000,950.208000,5.155978,-0.748127
298.000000,56.509000,0.882373,-1.062273
299.000000,84.896000,1.833420,-0.633832
3.000000,86.816300,1.797441,-1.042957
30.000000,69.112100,1.136332,-0.483637
300.000000,137.719000,4.159833,-0.814151
301.000000,124.082000,2.976758,-1.403818
302.000000,1506.720000,8.369093,-0.786907
303.000000,85.994800,1.822618,-0.543127
304.000000,32.152700,0.476545,-1.099633
305.000000,413.856000,22.303591,-0.751692
306.000000,89.961400,2.282000,-0.328476
307.000000,128.295000,2.976723,-0.583604
308.000000,1306.900000,7.940685,-0.494734
309.000000,29.603300,0.481246,-0.798899
31.000000,841.207000,10.179883,-0.591789
310.000000,291.941000,2.443545,-0.845924
311.000000,727.857000,3.041128,-0.575390
312.000000,38.945800,0.612622,-0.535062
313.000000,238.875000,1.671189,-0.877526
314.000000,1342.950000,6.532475,-0.586855
315.000000,325.987000,13.425647,-0.790024
316.000000,929.832000,3.987765,-0.477809
317.000000,297.827000,2.451696,-0.994523
318.000000,202.281000,6.458659,-1.015507
319.000000,149.281000,4.656569,-1.106171
32.000000,1673.950000,7.698806,-0.497541
320.000000,522.882000,2.322987,-0.616116
321.000000,71.683600,1.279498,-1.358698
322.000000,292.725000,12.608137,-0.806953
323.000000,31.747600,0.470345,-0.982186
324.000000,488.135000,5.018606,-0.806528
325.000000,242.801000,1.935100,-0.498070
326.000000,312.893000,2.685954,-0.496223
327.000000,582.790000,7.030236,-0.822401
328.000000,198.462000,6.112693,-0.529708
329.000000,627.810000,7.171744,-0.694939
